Series Name,Series Code,Country Name,Country Code,1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Afghanistan,AFG,..,..,..,..,59.8146503168484,..,..,..,..,..,..,..,..,..,48.1499135188659,..,..,..,..,39.3909806318543,..,..,..,32.9304513537869,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Africa Eastern and Southern,AFE,..,..,..,..,67.042887053288,..,..,..,..,..,..,..,..,..,59.1548866588657,..,..,..,..,52.911433522748,..,..,..,49.0198435796198,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Africa Western and Central,AFW,..,..,..,..,71.253066542416,..,..,..,..,..,..,..,..,..,65.1492323583742,..,..,..,..,61.8831660993608,..,..,..,59.5038196263206,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Albania,ALB,..,..,..,..,8.10935164207416,..,..,..,..,..,..,..,..,..,3.25913151879465,..,..,..,..,2.95538161966608,..,..,..,3.0231082827299,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Algeria,DZA,..,..,..,..,19.3859348491248,..,..,..,..,..,..,..,..,..,15.9925797286184,..,..,..,..,14.7662314046474,..,..,..,12.9844112787695,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Angola,AGO,..,..,..,..,72.8390914721885,..,..,..,..,..,..,..,..,..,66.6069964106187,..,..,..,..,61.5753822572839,..,..,..,59.1622729537789,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Antigua and Barbuda,ATG,..,..,..,..,13.5131059032448,..,..,..,..,..,..,..,..,..,12.2117824135442,..,..,..,..,11.2859980525078,..,..,..,9.83439461391756,..
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Arab World,ARB,..,..,..,..,32.0345143547207,..,..,..,..,..,..,..,..,..,24.1138600513385,..,..,..,..,19.7153918077943,..,..,..,18.818142806916,..
